AGS,Kreis/Stadt,patienten_2013,summe_diagnosen,diagnosen_pro_1000,mre_2013,esbl_2013,vre_2013,mrsa_2013,change_percent
09175,Ebersberg,28733,491,17.0883652943,91,257,13,130,3
09571,"Ansbach, Kreis",40604,693,17.0672840114,122,279,61,231,-5
07311,Frankenthal (Pfalz),11044,187,16.9322709163,42,79,10,56,14
08135,Heidenheim,24572,415,16.889142113,134,158,26,97,185
05754,Gütersloh,78106,1312,16.797685197,333,423,49,507,32
03401,"Delmenhorst, Stadt",17498,292,16.6876214425,125,43,,124,54
13076,Ludwigslust-Parchim,56856,946,16.6385253975,199,280,100,367,
13004,Schwerin,24331,404,16.6043319222,19,182,83,120,111
09573,"Fürth, Kreis",25659,426,16.6023617444,105,156,13,152,-3
01057,Plön,26634,440,16.5202372907,97,126,33,184,-13
09679,"Würzburg, Kreis",31292,516,16.4898376582,219,141,58,98,113
09764,Memmingen,9155,150,16.3844893501,13,69,28,40,18
05154,Kleve,76747,1257,16.3784903644,380,378,41,458,-27
08325,Rottweil,29429,481,16.3444221686,87,163,119,112,-18
05334,Städteregion Aachen,115069,1875,16.2945710834,700,370,93,712,-1
08311,Freiburg im Breisgau,36382,592,16.2717827497,101,328,50,113,-19
06411,"Darmstadt, Wissenschaftsstadt",27796,452,16.2613325658,96,184,40,132,3
09575,Neustadt a.d.Aisch-Bad Windsheim,23034,370,16.0632109056,108,93,21,148,2
12066,Oberspreewald-Lausitz,33288,534,16.0418168709,133,167,33,201,34
09474,Forchheim,24109,386,16.0106184412,135,103,20,128,-36
09773,Dillingen a.d.Donau,19623,314,16.0016307394,70,113,31,100,35
03403,"Oldenburg, Stadt",27952,447,15.9917000572,166,65,25,191,25
06432,Darmstadt-Dieburg,55743,887,15.9123118598,174,334,120,259,16
07232,Eifelkreis Bitburg-Prüm,26386,418,15.841734253,137,82,6,193,145
08231,Pforzheim,25923,407,15.7003433245,76,192,51,88,-16
09675,Kitzingen,20701,323,15.6031109608,96,98,18,111,26
08425,Alb-Donau-Kreis,33415,516,15.4421666916,149,179,50,138,59
08235,Calw,29845,459,15.3794605462,121,149,45,144,-26
03357,Rotenburg (Wümme),32341,495,15.305649176,156,133,18,188,-20
08437,Sigmaringen,22838,348,15.2377616254,80,122,52,94,-1
08421,Ulm,22254,339,15.2332165004,146,109,12,72,49
08436,Ravensburg,49743,747,15.0171883481,175,270,73,229,7
09276,Regen,18994,283,14.899441929,39,98,20,126,-25
01058,Rendsburg-Eckernförde,52610,783,14.8831020718,209,156,49,369,77
08327,Tuttlingen,26290,391,14.8725751236,66,182,82,61,10
08111,Stuttgart,112673,1662,14.7506501114,436,511,89,626,-12
09776,Lindau,16289,240,14.7338694825,50,91,19,80,28
08416,Tübingen,32600,480,14.7239263804,126,146,75,133,-11
08316,Emmendingen,31255,459,14.685650296,73,207,42,137,-37
08117,Göppingen,45031,660,14.6565699185,211,214,27,208,-14
01056,Pinneberg,63046,924,14.6559654855,264,289,28,343,-8
05378,Rheinisch-Bergischer Kreis,57952,848,14.6327995583,303,190,70,285,-22
08335,Konstanz,49227,720,14.6261198123,244,156,41,279,132
09674,Haßberge,21803,318,14.5851488327,78,74,31,135,7
09677,Main-Spessart,28438,414,14.5579857937,153,102,61,98,99
08136,Ostalbkreis,57847,840,14.5210641866,190,333,141,176,20
10042,Merzig-Wadern,25649,372,14.5034894148,100,123,8,141,-25
09190,Weilheim-Schongau,29555,428,14.4814752157,52,187,64,125,-18
09577,Weißenburg-Gunzenhausen,21678,311,14.3463419135,45,160,23,83,-15
08315,Breisgau-Hochschwarzwald,46677,663,14.2039976862,115,294,103,151,-33
08211,Baden-Baden,11748,166,14.1300646919,45,69,7,45,-25
16056,"Eisenach, Stadt",12269,173,14.1005786943,31,84,18,40,-9
01054,Nordfriesland,35268,493,13.9786775547,179,59,11,244,56
09275,"Passau, Kreis",44125,615,13.9376770538,76,227,34,278,-41
09762,Kaufbeuren,10356,144,13.9049826188,18,52,14,60,-44
07134,Birkenfeld,23522,327,13.9018790919,51,145,30,101,6
09177,Erding,26870,371,13.8072199479,106,102,34,129,23
09662,"Schweinfurt, Stadt",15948,219,13.7321294206,66,67,24,62,44
09777,Ostallgäu,29350,403,13.730834753,46,160,49,148,-38
15086,Jerichower Land,26293,361,13.7298900848,115,118,23,105,-1
09661,"Aschaffenburg, Stadt",12979,178,13.7144618229,52,53,24,49,-16
09672,Bad Kissingen,28410,387,13.6219640971,89,114,51,133,-35
06631,Fulda,50460,686,13.5949266746,196,246,23,221,17
03353,Harburg,50597,685,13.5383520762,233,216,35,201,8
09774,Günzburg,25843,349,13.5046240762,71,154,45,79,13
15090,Stendal,31167,420,13.4757917028,155,101,29,135,35
09173,Bad Tölz-Wolfratshausen,28274,381,13.4752776402,72,139,28,142,-15
08116,Esslingen,93260,1256,13.4677246408,350,422,42,442,29
08337,Waldshut,32168,433,13.4605819448,78,123,66,166,-14
09671,"Aschaffenburg, Kreis",31056,418,13.4595569294,142,112,62,102,6
16063,Wartburgkreis,35889,480,13.3745715958,113,204,40,123,-4
16073,Saalfeld-Rudolstadt,29718,396,13.3252574197,101,167,48,80,33
12062,Elbe-Elster,28981,375,12.9395120941,121,108,24,122,9
09162,"München, Landeshauptstadt",289802,3703,12.777689595,916,1211,392,1184,-24
16075,Saale-Orla-Kreis,21395,270,12.6197709745,77,95,33,65,-15
03457,Leer,37007,467,12.6192341989,139,87,21,220,38
09184,"München, Kreis",59744,749,12.5368237815,184,238,85,242,-30
16066,Schmalkalden-Meiningen,35735,446,12.4807611585,97,223,32,94,-38
08336,Lörrach,41603,519,12.4750618946,138,164,49,168,-27
07231,Bernkastel-Wittlich,27965,344,12.301090649,83,99,12,150,34
09563,"Fürth, Stadt",26805,329,12.2738295094,57,149,14,109,-64
09181,Landsberg am Lech,22908,280,12.2228042605,15,140,50,75,-55
09673,Rhön-Grabfeld,20469,250,12.2135912844,79,106,10,55,5
09771,Aichach-Friedberg,25421,306,12.0372920027,58,114,31,103,29
08212,"Karlsruhe, Stadt",51059,611,11.9665485027,211,155,51,194,16
09263,Straubing,10872,129,11.8653421634,36,41,9,43,-36
09772,"Augsburg, Kreis",51377,577,11.2307063472,113,225,54,185,-18
